1_MXJAG01,	FCA032	FCA075	FCA096	FCA100	FCA124	FCA126	FCA132	FCA208	FCA212	FCA225	FCA229	FCA275	Overall	
N	6	7	6	7	7	7	5	5	6	5	6	7	6.17	
A	3	4	4	3	3	2	2	4	2	5	4	3	39	
%	42.86	36.36	50	50	42.86	33.33	25	33.33	66.67	50	50	75	46.28	
Ar	2.89	3.87	3.56	2.36	2.98	1.98	1.99	3.25	1.9	3.84	3.2	2.65	2.87	
Ho	0.5	0.71	0.67	0.14	0.71	0.43	0.6	0.6	0.17	0.8	0.33	0.57	0.52	
He	0.61	0.72	0.68	0.26	0.62	0.34	0.42	0.64	0.38	0.68	0.65	0.5	0.54	
HWE	0.7602	0.8795	0.2821	0.0029	0.454	0.4708	0.3375	0.4778	0.1738	0.2987	0.2381	0.375	0.1475	
Fis	0.1818	0.0141	0.0204	0.44	-0.1475	-0.2727	-0.4286	0.0625	0.5556	-0.1765	0.4894	-0.1429	0.04	
Fis_Low	-0.3726	-0.3544	-0.5311	0.3095	-0.5196	-0.5401	-0.9482	-0.5116	-0.229	-0.5808	-0.2627	-0.6863	-0.22	
Fis_High	0.8266	0.4606	0.4125	0.4864	0.2418	-0.0615	-0.0593	0.5094	1.1044	0.2667	1.0706	0.2637	0.2259	
																												
2_GTAJAG01,	FCA032	FCA075	FCA096	FCA100	FCA124	FCA126	FCA132	FCA208	FCA212	FCA225	FCA229	FCA275	Overall	
N	14	15	14	14	12	14	14	13	15	12	13	14	13.67	
A	5	7	6	4	5	3	2	6	2	3	6	3	52	
%	71.43	63.64	75	66.67	71.43	50	25	50	66.67	30	75	75	59.99	
Ar	4.06	5.45	3.92	3.28	3.63	2.78	1.78	3.72	2	2.61	4.2	2.93	3.36	
Ho	0.86	0.8	0.71	0.79	0.83	0.64	0.21	0.62	0.6	0.5	0.77	0.71	0.67	
He	0.72	0.82	0.67	0.64	0.68	0.48	0.19	0.66	0.46	0.56	0.72	0.62	0.6	
HWE	0.8577	0.3033	0.9831	0.6631	0.4387	0.3705	0.6547	0.3748	0.2579	0.9297	0.6646	0.6392	0.9114	
Fis	-0.1831	0.0217	-0.0728	-0.2271	-0.2183	-0.3333	-0.12	0.0714	-0.2919	0.1056	-0.0744	-0.1429	-0.1125	
Fis_Low	-0.4256	-0.236	-0.3543	-0.5218	-0.5228	-0.5532	-0.2886	-0.3162	-0.7003	-0.3406	-0.4331	-0.4505	-0.2122	
Fis_High	0.0896	0.2966	0.2439	0.0964	0.0514	-0.1539	-0.0231	0.4451	0.1997	0.5941	0.283	0.2334	-0.0269	
																												
3_BZJ01,	FCA032	FCA075	FCA096	FCA100	FCA124	FCA126	FCA132	FCA208	FCA212	FCA225	FCA229	FCA275	Overall	
N	50	49	45	50	49	47	47	42	49	42	47	47	47	
A	5	10	6	5	4	6	2	7	2	4	6	3	60	
%	71.43	90.91	75	83.33	57.14	100	25	58.33	66.67	40	75	75	68.15	
Ar	3.55	5.9	4.08	2.96	3.1	4.39	1.42	4.67	1.85	3.22	4.06	2.92	3.51	
Ho	0.54	0.61	0.78	0.52	0.57	0.77	0.09	0.83	0.16	0.52	0.6	0.53	0.54	
He	0.63	0.84	0.73	0.6	0.65	0.71	0.08	0.77	0.27	0.59	0.73	0.64	0.6	
HWE	0.0739	0.0436	0.6401	0.0512	0.6174	0.4747	0.7642	0.9178	0.0048	0.2245	0.0045	0.1299	0.0044	
Fis	0.1412	0.2746	-0.0671	0.1296	0.125	-0.0801	-0.0444	-0.0861	0.4024	0.1047	0.1831	0.1725	0.0994	
Fis_Low	-0.049	0.1194	-0.2269	-0.1074	-0.0802	-0.231	-0.0962	-0.2158	0.0245	-0.1186	0.0031	-0.0454	0.0362	
